team_id,team_name,season,wins,losses,win_pct,ppg,oppg,rpg,apg,spg,bpg,tpg,fg_pct,fg3_pct,ft_pct
1610612748,Miami Heat,2025,37,45,0.451,110.6,110.0,43.4,26.4,8.1,3.8,13.6,0.465,0.367,0.791
1610612749,Milwaukee Bucks,2022,51,31,0.622,115.5,112.1,46.7,23.9,7.6,4.0,13.4,0.468,0.366,0.776
1610612749,Milwaukee Bucks,2023,58,24,0.707,116.9,113.30000000000001,48.6,25.8,6.4,4.9,14.6,0.473,0.368,0.743
1610612749,Milwaukee Bucks,2024,49,33,0.598,119.0,116.4,44.2,26.5,6.8,5.0,12.9,0.487,0.373,0.774
1610612749,Milwaukee Bucks,2025,48,34,0.585,115.5,113.0,43.4,25.5,7.3,4.7,13.4,0.486,0.387,0.75
1610612750,Minnesota Timberwolves,2022,46,36,0.561,115.9,113.30000000000001,44.2,25.7,8.8,5.6,14.3,0.457,0.358,0.778
1610612750,Minnesota Timberwolves,2023,42,40,0.512,115.8,115.8,41.9,26.2,8.0,5.4,15.3,0.49,0.365,0.755
1610612750,Minnesota Timberwolves,2024,56,26,0.683,113.0,106.5,43.6,26.6,7.9,6.1,14.2,0.485,0.387,0.777
1610612750,Minnesota Timberwolves,2025,49,33,0.598,114.3,109.3,44.3,26.1,8.0,5.0,14.5,0.468,0.377,0.789
1610612751,Brooklyn Nets,2022,44,38,0.537,112.9,112.10000000000001,44.4,25.3,7.1,5.5,14.1,0.475,0.361,0.805
1610612751,Brooklyn Nets,2023,45,37,0.549,113.4,112.5,40.5,25.5,7.1,6.2,13.7,0.487,0.378,0.8
1610612751,Brooklyn Nets,2024,32,50,0.39,110.4,113.30000000000001,44.1,25.6,6.8,5.2,13.1,0.456,0.362,0.756
1610612751,Brooklyn Nets,2025,26,56,0.317,105.1,112.19999999999999,41.3,25.2,7.8,4.3,15.2,0.437,0.344,0.787
1610612752,New York Knicks,2022,37,45,0.451,106.5,106.6,46.1,21.9,7.0,4.9,13.3,0.437,0.357,0.744
1610612752,New York Knicks,2023,47,35,0.573,116.0,113.1,46.6,22.9,6.4,4.1,13.0,0.47,0.354,0.761
1610612752,New York Knicks,2024,50,32,0.61,112.8,108.2,45.2,24.4,7.5,4.1,13.2,0.465,0.369,0.78
1610612752,New York Knicks,2025,51,31,0.622,115.8,111.7,42.6,27.5,8.2,4.0,13.3,0.486,0.369,0.8
1610612753,Orlando Magic,2022,22,60,0.268,104.2,112.2,44.3,23.7,6.8,4.5,14.5,0.434,0.331,0.787
1610612753,Orlando Magic,2023,34,48,0.415,111.4,114.0,43.2,23.2,7.4,4.7,15.1,0.47,0.346,0.784
1610612753,Orlando Magic,2024,47,35,0.573,110.5,108.5,42.3,24.7,8.2,5.2,14.7,0.476,0.352,0.759
1610612753,Orlando Magic,2025,41,41,0.5,105.4,105.5,41.8,23.0,8.9,6.0,14.2,0.445,0.318,0.775
1610612754,Indiana Pacers,2022,25,57,0.305,111.5,115.0,43.9,25.4,7.1,5.6,14.4,0.463,0.344,0.768
1610612754,Indiana Pacers,2023,35,47,0.427,116.3,119.5,41.5,27.0,7.7,5.8,14.9,0.469,0.367,0.79
1610612754,Indiana Pacers,2024,47,35,0.573,123.3,120.3,41.5,30.8,7.7,5.9,12.9,0.507,0.374,0.782
1610612754,Indiana Pacers,2025,50,32,0.61,117.4,115.2,41.8,29.2,8.5,5.5,13.2,0.488,0.368,0.789
1610612755,Philadelphia 76ers,2022,51,31,0.622,109.9,107.30000000000001,42.3,23.7,7.7,5.3,12.5,0.466,0.364,0.821
1610612755,Philadelphia 76ers,2023,54,28,0.659,115.2,110.9,40.9,25.2,7.7,4.7,13.7,0.487,0.387,0.835
1610612755,Philadelphia 76ers,2024,47,35,0.573,114.6,111.6,43.0,24.9,8.5,6.0,12.0,0.464,0.363,0.826
1610612755,Philadelphia 76ers,2025,24,58,0.293,109.6,115.8,39.8,23.2,9.2,4.5,13.6,0.454,0.341,0.78
1610612756,Phoenix Suns,2022,64,18,0.78,114.8,107.3,45.3,27.4,8.6,4.4,12.9,0.485,0.364,0.797
1610612756,Phoenix Suns,2023,45,37,0.549,113.6,111.5,44.2,27.3,7.1,5.3,13.5,0.467,0.374,0.793
1610612756,Phoenix Suns,2024,49,33,0.598,116.2,113.10000000000001,44.1,27.0,7.4,6.0,14.9,0.493,0.382,0.808
1610612756,Phoenix Suns,2025,36,46,0.439,113.6,116.6,42.5,27.8,7.2,4.8,14.1,0.478,0.378,0.81
1610612757,Portland Trail Blazers,2022,27,55,0.329,106.2,115.10000000000001,42.9,22.9,8.0,4.5,14.5,0.442,0.346,0.76
1610612757,Portland Trail Blazers,2023,33,49,0.402,113.4,117.4,40.5,24.2,6.7,4.6,14.5,0.474,0.365,0.796
1610612757,Portland Trail Blazers,2024,21,61,0.256,106.4,115.4,42.7,23.1,7.6,4.3,15.2,0.439,0.345,0.791
1610612757,Portland Trail Blazers,2025,36,46,0.439,110.9,113.9,44.8,23.8,8.3,5.3,16.0,0.45,0.342,0.762
1610612758,Sacramento Kings,2022,30,52,0.366,110.3,115.8,42.9,23.7,7.2,4.5,14.1,0.46,0.344,0.768
1610612758,Sacramento Kings,2023,48,34,0.585,120.7,118.10000000000001,42.5,27.3,7.0,3.4,13.5,0.494,0.369,0.79
1610612758,Sacramento Kings,2024,46,36,0.561,116.6,114.89999999999999,44.0,28.3,7.6,4.2,13.1,0.477,0.366,0.745
1610612758,Sacramento Kings,2025,40,42,0.488,115.7,115.2,44.2,26.5,7.6,4.4,13.3,0.478,0.357,0.806
1610612759,San Antonio Spurs,2022,34,48,0.415,113.2,113.10000000000001,45.3,27.9,7.6,4.9,12.7,0.467,0.352,0.754
1610612759,San Antonio Spurs,2023,22,60,0.268,113.0,123.0,43.7,27.2,7.0,3.9,15.3,0.465,0.345,0.743
1610612759,San Antonio Spurs,2024,22,60,0.268,112.1,118.6,44.2,29.9,7.1,6.3,15.1,0.462,0.347,0.782
1610612759,San Antonio Spurs,2025,34,48,0.415,113.9,116.7,43.7,28.6,8.2,5.5,13.9,0.465,0.357,0.774
1610612760,Oklahoma City Thunder,2022,24,58,0.293,103.7,111.8,45.6,22.2,7.6,4.6,14.0,0.43,0.323,0.756
1610612760,Oklahoma City Thunder,2023,40,42,0.488,117.5,116.4,43.7,24.4,8.2,4.2,13.0,0.465,0.356,0.809
1610612760,Oklahoma City Thunder,2024,57,25,0.695,120.1,112.69999999999999,42.0,27.1,8.5,6.6,12.7,0.499,0.389,0.825
1610612760,Oklahoma City Thunder,2025,68,14,0.829,120.5,107.6,44.8,26.9,10.3,5.7,11.7,0.482,0.374,0.819
1610612761,Toronto Raptors,2022,48,34,0.585,109.4,107.10000000000001,45.3,22.1,9.0,4.6,12.5,0.445,0.349,0.759
1610612761,Toronto Raptors,2023,41,41,0.5,112.9,111.4,43.0,23.9,9.4,5.2,11.7,0.459,0.335,0.784
1610612761,Toronto Raptors,2024,25,57,0.305,112.4,118.80000000000001,42.7,28.5,7.7,4.7,14.0,0.471,0.347,0.756
1610612761,Toronto Raptors,2025,30,52,0.366,110.9,115.2,45.1,28.5,8.1,4.2,15.3,0.458,0.348,0.748
1610612762,Utah Jazz,2022,49,33,0.598,113.6,107.6,46.3,22.4,7.2,4.9,14.0,0.471,0.36,0.767
1610612762,Utah Jazz,2023,37,45,0.451,117.1,118.0,45.9,26.0,6.1,5.2,15.4,0.473,0.353,0.786
1610612762,Utah Jazz,2024,31,51,0.378,115.7,120.60000000000001,45.5,27.2,6.5,5.6,15.7,0.467,0.354,0.83
1610612762,Utah Jazz,2025,17,65,0.207,111.9,121.2,45.4,25.5,6.8,4.4,17.2,0.454,0.35,0.774
1610612763,Memphis Grizzlies,2022,56,26,0.683,115.6,109.89999999999999,49.2,26.0,9.8,6.5,13.2,0.461,0.353,0.734
1610612763,Memphis Grizzlies,2023,51,31,0.622,116.9,113.0,46.6,26.0,8.3,5.8,13.6,0.475,0.351,0.733
1610612763,Memphis Grizzlies,2024,27,55,0.329,105.8,112.8,42.6,24.7,8.2,6.1,15.1,0.435,0.346,0.764
1610612763,Memphis Grizzlies,2025,48,34,0.585,121.7,116.8,47.3,28.4,8.9,5.6,15.7,0.479,0.367,0.786
1610612764,Washington Wizards,2022,35,47,0.427,108.6,112.0,43.1,25.0,6.4,5.0,13.1,0.472,0.342,0.783
1610612764,Washington Wizards,2023,35,47,0.427,113.2,114.4,43.6,25.4,6.8,5.2,14.1,0.485,0.356,0.785
1610612764,Washington Wizards,2024,15,67,0.183,113.7,123.0,41.1,27.9,7.6,5.1,14.0,0.47,0.348,0.764
1610612764,Washington Wizards,2025,18,64,0.22,108.0,120.4,43.7,25.1,7.6,5.1,15.6,0.439,0.335,0.778
1610612765,Detroit Pistons,2022,23,59,0.28,104.8,112.5,43.0,23.5,7.7,4.8,14.2,0.431,0.326,0.782
1610612765,Detroit Pistons,2023,17,65,0.207,110.3,118.5,42.4,23.0,7.0,3.8,15.1,0.454,0.351,0.771
1610612765,Detroit Pistons,2024,14,68,0.171,109.9,119.0,43.3,25.5,6.5,4.7,15.2,0.463,0.348,0.785
1610612765,Detroit Pistons,2025,44,38,0.537,115.5,113.6,44.8,26.4,8.0,5.3,14.9,0.476,0.362,0.774
1610612766,Charlotte Hornets,2022,43,39,0.524,115.3,114.89999999999999,44.6,28.1,8.6,4.9,13.3,0.468,0.365,0.74
1610612766,Charlotte Hornets,2023,27,55,0.329,111.0,117.2,44.5,25.1,7.7,5.2,14.2,0.457,0.33,0.749
1610612766,Charlotte Hornets,2024,21,61,0.256,106.6,116.8,40.3,24.8,6.9,4.5,13.8,0.46,0.355,0.786
1610612766,Charlotte Hornets,2025,19,63,0.232,105.1,114.19999999999999,45.2,24.3,7.4,4.5,15.5,0.43,0.339,0.783
