player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
203935,2021,1610612738,48,13.1,3.5,5.7,1.5,0.5,0.398,0.33,0.79,32.9,2.0,0.5
203935,2022,1610612738,71,12.1,3.8,5.9,1.7,0.3,0.418,0.331,0.793,32.3,2.2,0.3
203935,2023,1610612738,61,11.5,3.1,6.3,1.5,0.4,0.415,0.336,0.746,32.1,2.3,0.3
203935,2024,1610612763,20,14.5,2.7,4.3,2.1,0.3,0.43,0.313,0.768,30.2,3.1,1.0
203935,2025,1610612764,34,9.0,2.1,3.2,1.1,0.3,0.393,0.348,0.761,20.0,1.6,0.4
203937,2021,1610612763,69,12.4,5.7,3.6,1.2,0.8,0.468,0.36,0.783,27.4,1.2,0.3
203937,2022,1610612763,69,7.6,5.3,2.7,1.1,0.7,0.446,0.33,0.638,21.5,1.0,0.2
203937,2023,1610612750,69,9.4,5.3,4.9,1.1,0.9,0.509,0.41,0.735,28.4,1.5,0.3
203937,2024,1610612750,79,6.4,3.5,4.2,0.9,0.6,0.46,0.229,0.708,22.6,1.2,0.2
203937,2025,1610612748,61,5.9,3.4,2.4,0.7,0.5,0.469,0.357,0.738,16.4,0.6,0.2
203939,2021,1610612742,58,5.9,4.0,1.1,0.6,0.5,0.619,0.238,0.782,16.6,0.7,0.2
203939,2022,1610612742,82,8.7,4.9,1.2,0.5,0.5,0.671,0.351,0.783,21.9,0.8,0.2
203939,2023,1610612742,76,6.7,4.1,0.9,0.6,0.3,0.732,0.0,0.667,19.2,0.9,0.2
203939,2024,1610612742,63,3.3,3.4,1.3,0.4,0.3,0.679,0.333,0.708,13.3,0.5,0.1
203939,2025,1610612742,55,2.1,2.1,1.0,0.3,0.4,0.689,0.4,0.651,10.0,0.3,0.1
203943,2021,1610612751,4,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.7,0.5,0.0
203943,2023,1610612738,23,1.1,2.1,0.3,0.1,0.3,0.458,0.25,1.0,7.5,0.5,0.1
203944,2021,1610612752,71,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,37.6,3.4,0.5
203944,2022,1610612752,72,20.1,9.9,5.1,0.7,0.5,0.411,0.308,0.756,35.3,3.4,0.5
203944,2023,1610612752,77,25.1,10.0,4.1,0.6,0.3,0.459,0.343,0.757,35.5,2.8,0.5
203944,2024,1610612752,46,24.0,9.2,5.0,0.5,0.3,0.472,0.311,0.781,35.4,3.5,0.8
203944,2025,1610612750,69,18.7,7.1,4.7,0.7,0.2,0.485,0.344,0.806,32.3,2.8,0.4
203952,2021,1610612744,71,18.6,4.9,2.4,0.9,1.0,0.477,0.38,0.714,33.3,1.8,0.4
